,State,City,Population,Violent Crime,Murder,Forcible rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Total
949,Connecticut,Wallingford,45183,33.2,0,4.4,22.1,6.6,2022.9,356.3,1611.2,55.3,4107.6
950,Ohio,Warren,41355,674.6,9.7,38.7,246.6,379.6,4860.4,1963.5,2626.0,270.8,11021.5
951,New Jersey,"Washington Township, Gloucester County",48940,136.9,0,6.1,59.3,71.5,2327.3,363.7,1879.9,83.8,4922.400000000001
952,California,Watsonville,52064,484.0,3.8,28.8,167.1,284.3,3044.3,509.0,1966.8,568.5,7024.000000000001
953,Wisconsin,Wauwatosa,46748,166.9,2.1,0,119.8,44.9,4120.0,569.0,3471.8,79.1,8571.500000000002
954,New Jersey,Wayne Township,55071,72.6,0,0,23.6,49.0,2228.0,343.2,1803.1,81.7,4601.2
955,New York,Webster Town and Village,42936,60.6,0,4.7,18.6,37.3,1080.7,202.6,836.1,41.9,2277.8
956,Florida,Wellington,57943,248.5,0,17.3,48.3,182.9,2493.8,403.8,1905.3,184.7,5467.3
957,Ohio,West Chester Township,58897,91.7,0,47.5,20.4,23.8,2234.4,365.0,1830.3,39.1,4604.700000000001
958,Iowa,West Des Moines,58134,163.4,0,27.5,13.8,122.1,3139.3,366.4,2686.9,86.0,6577.900000000001
959,Connecticut,West Haven,55626,573.5,1.8,1.8,104.3,465.6,2601.3,354.2,1934.3,312.8,6346.000000000001
960,New Jersey,West New York,50507,388.1,0,15.8,184.1,188.1,1451.3,386.1,964.2,101.0,3662.8999999999996
961,New Jersey,West Orange,46505,146.2,4.3,0,66.7,75.3,1406.3,318.2,937.5,150.5,3100.7
962,California,West Sacramento,49500,383.8,0,52.5,147.5,183.8,2945.5,765.7,1844.4,335.4,6606.1
963,New York,West Seneca Town,44902,115.8,0,4.5,29.0,82.4,1875.2,331.8,1476.5,66.8,3977.5000000000005
964,Massachusetts,Westfield,41485,183.2,0,19.3,33.7,130.2,1856.1,484.5,1328.2,43.4,4059.2999999999997
965,Massachusetts,Weymouth,54597,344.3,0,16.5,76.9,250.9,1474.4,384.6,1009.2,80.6,3620.9
966,Illinois,Wheaton,53263,22.5,1.9,1.9,5.6,13.1,1088.9,180.2,889.9,18.8,2219.0000000000005
967,New York,White Plains,57567,159.8,1.7,5.2,53.9,99.0,2407.6,142.4,2221.8,43.4,5127.9
968,Pennsylvania,Wilkes-Barre,41532,414.1,7.2,72.2,183.0,151.7,2992.9,652.5,2092.4,248.0,6734.6
969,North Carolina,Wilson,49785,526.3,10,6,138.6,371.6,4662.0,1337.8,3099.3,225.0,10360.6
970,California,Woodland,56323,314.3,0,17.8,83.4,213.1,3080.4,640.9,2080.9,358.6,6771.6
971,Rhode Island,Woonsocket,41147,534.7,0,55.9,143.4,335.4,3059.8,840.9,2041.5,177.4,7133.099999999999
972,Texas,Wylie,43645,64.2,4.6,2.3,6.9,50.4,1404.5,229.1,1111.2,64.2,2930.5
973,Pennsylvania,York,43955,1335.5,25,100.1,430.0,780.3,3599.1,985.1,2388.8,225.2,9744.0
974,California,Yucaipa,52622,226.1,0,9.5,66.5,150.1,1793.9,515.0,1062.3,216.6,4030.5000000000005
